gutenberg_id,goodreads_id,goodreads_title,goodreads_author,goodreads_description,goodreads_average_rating,goodreads_rating_dist,goodreads_ratings_count,goodreads_text_reviews_count,goodreads_num_pages,goodreads_publisher,goodreads_language_code,goodreads_image_url,goodreads_small_image_url,goodreads_isbn,goodreads_isbn_13,goodreads_link
20000,33507,"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",Jules Verne,"When an unidentified “monster” threatens international shipping, French oceanographer Pierre Aronnax and his unflappable assistant Conseil join an expedition organized by the US Navy to hunt down and destroy the menace. After months of fruitless searching, they finally grapple with their quarry, but Aronnax, Conseil, and the brash Canadian harpooner Ned Land are thrown overboard in the attack, only to find that the “monster” is actually a futuristic submarine, the Nautilus, commanded by a shadowy, mystical, preternaturally imposing man who calls himself Captain Nemo. Thus begins a journey of 20,000 leagues—nearly 50,000 miles—that will take Captain Nemo, his crew, and these three adventurers on a journey of discovery through undersea forests, coral graveyards, miles-deep trenches, and even the sunken ruins of Atlantis. Jules Verne’s novel of undersea exploration has been captivating readers ever since its first publication in 1870, and Frederick Paul Walter’s reader-friendly, scientifically meticulous translation of this visionary science fiction classic is complete and unabridged down to the smallest substantive detail.",3.88,5:53125|4:66136|3:45583|2:10481|1:2717|total:178042,138757,3007,394,Barnes & Noble,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494979127l/33507._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494979127l/33507._SX50_.jpg,076072850X,9780760728505,https://www.goodreads.com/book/show/33507.Twenty_Thousand_Leagues_Under_the_Sea
20001,12512705,"The English Spy An Original Work Characteristic, Satirical, And Humorous. Comprising Scenes And Sketches In Every Rank Of Society, Being Portraits Drawn From The Life",Charles Molloy Westmacott,,0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,3655190409,9783655190401,https://www.goodreads.com/book/show/12512705-the-english-spy-an-original-work-characteristic-satirical-and-humorous
20002,19219381,Alroy The Prince Of The Captivity,Benjamin Disraeli,,3.50,5:1|4:0|3:0|2:1|1:0|total:2,1,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/19219381-alroy-the-prince-of-the-captivity
20003,6287238,The Infernal Marriage,Benjamin Disraeli,"1904. Known as a dandy, a novelist, a brilliant debater and England's first and only Jewish prime minister, Disraeli (Earl of Beaconsfield) is best remembered for bringing India and the Suez Canal under control of the crown. This story first appeared in Coburn's New Monthly Magazine in 1834. His father thought it his best work. See other titles by this author available from Kessinger Publishing.",3.83,5:2|4:2|3:1|2:1|1:0|total:6,4,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1437818730,9781437818734,https://www.goodreads.com/book/show/6287238-the-infernal-marriage
20004,46759616,"Tancred - or, The New Crusade",Benjamin Disraeli,,0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/46759616-tancred---or-the-new-crusade
20005,48551163,"A Narrative of the Life of Rev. Noah Davis, A Colored Man Written by Himself, At The Age of Fifty-Four","Noah, 1804?- Davis",,0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/48551163-a-narrative-of-the-life-of-rev-noah-davis-a-colored-man-written-by-him
20006,12479115,Dua Libro de l' Lingvo Internacia,L.L. Zamenhof,,4.00,5:2|4:2|3:2|2:0|1:0|total:6,6,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,365519045X,9783655190456,https://www.goodreads.com/book/show/12479115-dua-libro-de-l-lingvo-internacia
20007,47842472,Lord George Bentinck: A Political Biography,Benjamin Disraeli,"Lord George Bentinck is an account of Disraeli's relation with his parliamentary colleague and friend. It is not simply an account of the battle over the Corn Laws with Sir Robert Peel, but a most remarkable book, extremely readable, and full of often quoted and apt comments and descriptions.<br /><br />Benjamin Disraeli, in full Benjamin Disraeli, earl of Beaconsfield, Viscount Hughenden of Hughenden, byname Dizzy, (born December 21, 1804, London, England--died April 19, 1881, London), British statesman and novelist who was twice prime minister (1868, 1874-80) and who provided the Conservative Party with a twofold policy of Tory democracy and imperialism.<br /> Disraeli was educated at small private schools. At the age of 17 he was articled to a firm of solicitors, but he longed to become notable in a more sensational manner. His first efforts were disastrous. In 1824 he speculated recklessly in South American mining shares, and, when he lost all a year later, he was left so badly in debt that he did not recover until well past middle age. Earlier he had persuaded the publisher John Murray, his father's friend, to launch a daily newspaper, the Representative. It was a complete failure. Disraeli, unable to pay his promised share of the capital, quarreled with Murray and others. Moreover, in his novel Vivian Grey (1826-27), published anonymously, he lampooned Murray while telling the story of the failure. Disraeli was unmasked as the author, and he was widely criticized.<br /> Disraeli suffered what would later be called a nervous breakdown and did little during the next four years. He wrote another extravagant novel, The Young Duke (1831), and in 1830 began 16 months of travel in the Mediterranean countries and the Middle East. These travels not only furnished him with material for Oriental descriptions he used in later novels but also influenced his attitude in foreign relations with India, Egypt, and Turkey in the 1870s.<br /> Back in England, he was active in London social and literary life, where his dandified dress, conceit and affectation, and exotic good looks made him a striking if not always popular figure. He was invited to fashionable parties and met most of the celebrities of the day. His novel Contarini Fleming (1832) has considerable autobiographical interest, like many of his novels, as well as echoes of his political thought.<br /> By 1831 Disraeli had decided to enter politics and sought a seat in Buckinghamshire, near Wycombe, where his family had settled. As an independent radical, he stood for and lost High Wycombe twice in 1832 and once in 1835. Realizing that he must attach himself to one of the political parties, he made a somewhat eccentric interpretation of Toryism, which some features of his radicalism fitted. In 1835 he unsuccessfully stood for Taunton as the official Conservative candidate. His extravagant behaviour, great debts, and open liaison with Henrietta, wife of Sir Francis Sykes (the prototype of the heroine in his novel Henrietta Temple [1837]), all gave him a dubious reputation. In 1837, however, he successfully stood for Maidstone in Kent as the Conservative candidate. His maiden speech in the House of Commons was a failure. Elaborate metaphors, affected mannerisms, and foppish dress led to his being shouted down. But he was not silenced. He concluded, defiantly and prophetically, ""I will sit down now, but the time will come when you will hear me.""",0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,84,Lighthouse Books for Translation and Publishing,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566268093l/47842472._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566268093l/47842472._SX50_.jpg,0599622970,9780599622975,https://www.goodreads.com/book/show/47842472-lord-george-bentinck
20008,10917314,The Young Duke (Complete),Benjamin Disraeli,,3.60,5:2|4:4|3:2|2:2|1:0|total:10,7,1,248,Echo Library,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1406861405,9781406861402,https://www.goodreads.com/book/show/10917314-the-young-duke
20009,7822763,Ixion in Heaven,Benjamin Disraeli,"Benjamin Disraeli, 1st Earl of Beaconsfield, KG, PC, FRS (born Benjamin DaIsraeli) (1804-1881) was a British Conservative statesman and literary figure. He served in government for three decades, twice as Prime Minister-the first and thus far only person of Jewish parentage to do so. Disraelias greatest lasting achievement was the creation of the modern Conservative Party after the Corn Laws schism of 1846. Before and during his political career, Disraeli was well-known as a literary and social figure, although his novels are not generally regarded as a part of the Victorian literary canon. He mainly wrote romances, of which Sybil; or, The Two Nations (1845) and Vivian Grey (1826-27) are perhaps the best-known today. After producing a Vindication of the English Constitution (1835), and some political pamphlets, Disraeli followed up Vivian Grey with a series of novels, The Young Duke (1831), Contarini Fleming (1832), Alroy (1833), Venetia and Henrietta Temple (1837). During the same period he had also written The Revolutionary Epick (1834) and three burlesques, Ixion in Heaven (1834), The Infernal Marriage (1834) and Popanilla (1828).",3.38,5:1|4:3|3:2|2:2|1:0|total:8,7,2,48,Dodo Press,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1409922030,9781409922032,https://www.goodreads.com/book/show/7822763-ixion-in-heaven
