gutenberg_id,goodreads_id,goodreads_title,goodreads_author,goodreads_description,goodreads_average_rating,goodreads_rating_dist,goodreads_ratings_count,goodreads_text_reviews_count,goodreads_num_pages,goodreads_publisher,goodreads_language_code,goodreads_image_url,goodreads_small_image_url,goodreads_isbn,goodreads_isbn_13,goodreads_link
30000,19427104,The Bird Book Illustrating in natural colors more than seven hundred North American birds; also several hundred photographs of their nests and eggs.,Chester A. Reed,"Chester A. Reed knows birds. He studied them for thirty years in the hand for plumage, and in their haunts for habits. He studied them in their homes and photographed hundreds of them as they were actually feeding their young. Besides being able to write about these things in an interesting and instructive manner, he is classed as one of the foremost bird artists in America. This rare combination of Artist/Author/Naturalist produced the ultimate bird book. This book might well be called an illustrated dictionary of North American birds. In this facsimile edition you will find more than seven hundred birds illustrated, along with hundreds of photographs of their nests and eggs. This wonderful guide gives you the information you need to make a quick identification of any bird you are likely to meet, as well as a plethora of information about it and its haunts. Simply a wonderful birding tool.",2.25,5:0|4:1|3:0|2:2|1:1|total:4,1,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/19427104-the-bird-book-illustrating-in-natural-colors-more-than-seven-hundred-nor
30001,11259219,"On the Origin of Clockwork, Perpetual Motion Devices, and the Compass",Derek J. De Solla Price,Nicht-exklusives Verkaufsrecht für: Gesamte Welt.,2.75,5:0|4:0|3:3|2:1|1:0|total:4,3,0,42,,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/11259219-on-the-origin-of-clockwork-perpetual-motion-devices-and-the-compass
30002,7788881,Sjambak: A Classic Science Fiction Adventure,Jack Vance,"Wilbur Murphy sought romance, excitement, and an impossible Horseman of Space. With polite smiles, the planet frustrated him at every turn - until he found them all the hard way! A classic science fiction story originally published in the ""If Worlds of Science Fiction"" in July, 1953. Includes a detailed ""About the Author"" and a selected bibliography.",3.34,5:22|4:42|3:71|2:25|1:3|total:163,86,15,38,Wildside Press,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1557428107,9781557428103,https://www.goodreads.com/book/show/7788881-sjambak
30003,19263716,Law and Laughter,D. MacLeod Malloch,,4.00,5:2|4:2|3:2|2:0|1:0|total:6,3,0,,,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/19263716-law-and-laughter
30004,13576332,A Bottle of Old Wine,Richard O. Lewis,,3.18,5:1|4:3|3:4|2:3|1:0|total:11,9,1,24,FQ Books,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/13576332-a-bottle-of-old-wine
30005,41598941,Zur Geschichte Der Theorie Der Elliptischen Transcendenten in Den Jahren 1826-29,Leo Koenigsberger,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work.<br /><br />This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.<br /><br />As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,110,Wentworth Press,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0270075038,9780270075038,https://www.goodreads.com/book/show/41598941-zur-geschichte-der-theorie-der-elliptischen-transcendenten-in-den-jahren
30006,574096,Cloudy Jewel,Grace Livingston Hill,"Gentle, lovely Julia Cloud has devoted her life to caring for others. Now, after her invalid mother's death, she is without the financial means to live on her own. But she dreaded accepting her selfish younger sister's offer to come and live with her and take care off her demanding children.<br /><br />Then, just when Julia resigns herself to a bleak future as a servant in her sister's home, something amazing happens! Julia's lively young niece and nephew, her deceased brother's children, turn up on her doorstep with a thrilling proposition. Suddenly Julia is thrown into an exciting adventure--and she discovers more happiness and love than she ever dreamed she could have!",4.10,5:455|4:275|3:203|2:42|1:24|total:999,510,40,323,Living Books,eng,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450803618l/574096._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450803618l/574096._SY75_.jpg,0842304746,9780842304740,https://www.goodreads.com/book/show/574096.Cloudy_Jewel
30007,11634197,A Dear Little Girl's Thanksgiving Holidays,Amy Ella Blanchard,Edna Conway spends a a good old-fashioned Thanksgiving on her grandmother's farm.,3.86,5:10|4:18|3:12|2:2|1:0|total:42,35,8,118,,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/11634197-a-dear-little-girl-s-thanksgiving-holidays
30008,27758718,Le Feminisme Francais I - L'Emancipation Individuelle Et Sociale de La Femme,Charles Turgeon,"Dans le feminisme il y a le mot et la chose. Le mot est ne en France... Quant a la chose, elle est plutot d'origine americaine... En realite, le programme de l'emancipation feminine, que nous etudierons, article par article, suivant l'ordre dans lequel nous venons de l'enoncer, peut se ramener, pour plus de clarte, a deux directions generales qui correspondent a nos deux series d'etudes. Dans la premiere, la femme poursuit: 1 son emancipation individuelle, en reclamant une plus large et plus libre accession aux lumieres de la science; 2 son emancipation sociale, en revendiquant une plus large et plus libre admission aux metiers et professions des hommes. Dans la seconde, la femme entend realiser: 1 son emancipation politique, en conquerant le droit de suffrage; 2 son emancipation familiale, en obtenant au foyer plus d'independance et d'autorite. Ainsi donc, d'une part, droits de la femme en matiere d'instruction et de travail: voila pour son emancipation individuelle et sociale; d'autre part, droits de la femme dans les affaires de l'Etat et du menage: voila pour son emancipation politique et familiale.""",0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,508,Omnia Veritas Ltd,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1910220779,9781910220771,https://www.goodreads.com/book/show/27758718-le-feminisme-francais-i---l-emancipation-individuelle-et-sociale-de-la-f
30009,19272987,Le féminisme français II L'émancipation politique et familiale de la femme (French Edition),Charles Marie Joseph Turgeon,,3.00,5:0|4:0|3:1|2:0|1:0|total:1,1,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/19272987-le-f-minisme-fran-ais-ii-l-mancipation-politique-et-familiale-de-la-fem
30010,12320711,Trees Are Where You Find Them,Arthur Dekker Savage,,2.64,5:0|4:1|3:5|2:5|1:0|total:11,6,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,2940012116079,https://www.goodreads.com/book/show/12320711-trees-are-where-you-find-them
30011,8275680,"An Aviator's Field Book Being the Field Reports of Oswald Bolcke, from August 1, 1914 to October 28, 1916",Oswald Boelcke,"Excerpt: ...on his part, tried to stick behind me. It was a fine game. The one I was attacking twisted and spiralled to escape. I got him from behind and forced him to the 500-meter level. I was very close to him and quite surprised that he had stopped his twisting; but just as I was about to give him the finishing shots, my machine gun stopped. I had pressed down too hard on the trigger Pg 108 mechanism, in the heat of the battle, and this had jammed. The second Frenchman now attacked me, and I escaped while I could. The second fight took place over our lines. The first Frenchman, as I learned later, had gotten his share. He was just able to glide to the French side of the Meuse, and here he landed, according to some reports; others say he fell. I am inclined to believe the former, but probably he could not pick a good spot in which to land, and so broke his machine. From Lieutenant R. I heard that the machine, as well as an automobile, that came to its aid, were set afire by our artillery. I learned further details from Lieutenant B. After landing, one of the Pg 109 aviators ran to the village, returned with a stretcher and helped carry the other one away. Things seem to have happened like this: I wounded the pilot; he was just able to make a landing; then, with the aid of his observer, he was carried off, and our artillery destroyed his machine. On the following day, the 13th, there was again great aerial activity. Early in the morning I came just in time to see a French battleplane attack a German above Fort Douaumont. I went for the Frenchman and chased him away",3.92,5:3|4:6|3:2|2:1|1:0|total:12,8,1,24,Rarebooksclub.com,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381287814l/8275680._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381287814l/8275680._SX50_.jpg,1153823330,9781153823333,https://www.goodreads.com/book/show/8275680-an-aviator-s-field-book-being-the-field-reports-of-oswald-bolcke-from-a
30012,2831984,L'Aiglon,Edmond Rostand,,4.08,5:29|4:20|3:12|2:3|1:2|total:66,51,3,434,Gallimard,fre,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382878681l/2831984._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382878681l/2831984._SY75_.jpg,2070377644,9782070377640,https://www.goodreads.com/book/show/2831984-l-aiglon
30013,24372712,"Mémoires du maréchal Marmont, duc de Raguse (3/9)",Auguste Frédéric Louis Viesse De Marmont,,0.00,5:0|4:0|3:0|2:0|1:0|total:0,0,0,,,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,,,https://www.goodreads.com/book/show/24372712-m-moires-du-mar-chal-marmont-duc-de-raguse
30014,15622,Native Son,Richard Wright,"Right from the start, Bigger Thomas had been headed for jail. It could have been for assault or petty larceny; by chance, it was for murder and rape. <i>Native Son</i> tells the story of this young black man caught in a downward spiral after he kills a young white woman in a brief moment of panic.<br /><br />Set in Chicago in the 1930s, Wright's powerful novel is an unsparing reflection on the poverty and feelings of hopelessness experienced by people in inner cities across the country and of what it means to be black in America.",3.99,5:28216|4:29131|3:15240|2:4189|1:1920|total:78696,73905,2930,504,Harper Perennial Modern Classics,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,006083756X,9780060837563,https://www.goodreads.com/book/show/15622.Native_Son
